total,soft,upcard,optimal_actions,stand,hit,value
6,False,1,hit,-0.6669507746855103,-0.30414663097569933,-0.30414663097569933
6,False,2,hit,-0.29278372720927737,-0.14075911746001993,-0.14075911746001993
6,False,3,hit,-0.25225022923571355,-0.1072910780086084,-0.1072910780086084
6,False,4,hit,-0.21106310899491437,-0.07291714192638732,-0.07291714192638732
6,False,5,hit,-0.16719266083547535,-0.03491597333010231,-0.03491597333010231
6,False,6,hit,-0.15369901583000453,-0.013005835529874334,-0.013005835529874334
6,False,7,hit,-0.47537518327693334,-0.1519327072366995,-0.1519327072366995
6,False,8,hit,-0.5105175154976173,-0.2172418813207848,-0.2172418813207848
6,False,9,hit,-0.5431496811311094,-0.29264070019772603,-0.29264070019772603
6,False,10,hit,-0.5404303339949851,-0.33774944037840815,-0.33774944037840815
7,False,1,hit,-0.6669507746855103,-0.310071650331637,-0.310071650331637
7,False,2,hit,-0.29278372720927737,-0.10918342786661638,-0.10918342786661638
7,False,3,hit,-0.25225022923571355,-0.07658298190446361,-0.07658298190446361
7,False,4,hit,-0.21106310899491437,-0.04302179400434189,-0.04302179400434189
7,False,5,hit,-0.16719266083547535,-0.007271360902941012,-0.007271360902941012
7,False,6,hit,-0.15369901583000453,0.029185342353860846,0.029185342353860846
7,False,7,hit,-0.47537518327693334,-0.06880779958042782,-0.06880779958042782
7,False,8,hit,-0.5105175154976173,-0.21060476872434974,-0.21060476872434974
7,False,9,hit,-0.5431496811311094,-0.2853654404868766,-0.2853654404868766
7,False,10,hit,-0.5404303339949851,-0.31905479139833853,-0.31905479139833853
8,False,1,hit,-0.6669507746855103,-0.19702881057416358,-0.19702881057416358
8,False,2,hit,-0.29278372720927737,-0.02179818800880571,-0.02179818800880571
8,False,3,hit,-0.25225022923571355,0.008005262530654663,0.008005262530654663
8,False,4,hit,-0.21106310899491437,0.03878447327720879,0.03878447327720879
8,False,5,hit,-0.16719266083547535,0.07080463598303369,0.07080463598303369
8,False,6,hit,-0.15369901583000453,0.11496015009622318,0.11496015009622318
8,False,7,hit,-0.47537518327693334,0.08220743936374282,0.08220743936374282
8,False,8,hit,-0.5105175154976173,-0.05989827565865634,-0.05989827565865634
8,False,9,hit,-0.5431496811311094,-0.21018633199821765,-0.21018633199821765
8,False,10,hit,-0.5404303339949851,-0.24937508055334265,-0.24937508055334265
9,False,1,hit,-0.6669507746855103,-0.06568077877806619,-0.06568077877806619
9,False,2,hit,-0.29278372720927737,0.0744460375763405,0.0744460375763405
9,False,3,hit,-0.25225022923571355,0.10126470173887674,0.10126470173887674
9,False,4,hit,-0.21106310899491437,0.12898088119574175,0.12898088119574175
9,False,5,hit,-0.16719266083547535,0.1580318562665172,0.1580318562665172
9,False,6,hit,-0.15369901583000453,0.19601883925727873,0.19601883925727873
9,False,7,hit,-0.47537518327693334,0.1718678599369526,0.1718678599369526
9,False,8,hit,-0.5105175154976173,0.09837621743539247,0.09837621743539247
9,False,9,hit,-0.5431496811311094,-0.052178053462651745,-0.052178053462651745
9,False,10,hit,-0.5404303339949851,-0.1529529848745508,-0.1529529848745508
10,False,1,hit,-0.6669507746855103,0.08144970794527591,0.08144970794527591
10,False,2,hit,-0.29278372720927737,0.18249999400904487,0.18249999400904487
10,False,3,hit,-0.25225022923571355,0.20608797581394087,0.20608797581394087
10,False,4,hit,-0.21106310899491437,0.23047012189717692,0.23047012189717692
10,False,5,hit,-0.16719266083547535,0.25625855450163376,0.25625855450163376
10,False,6,hit,-0.15369901583000453,0.28779508429888423,0.28779508429888423
10,False,7,hit,-0.47537518327693334,0.2569087443360865,0.2569087443360865
10,False,8,hit,-0.5105175154976173,0.19795370833197604,0.19795370833197604
10,False,9,hit,-0.5431496811311094,0.11652959106928386,0.11652959106928386
10,False,10,hit,-0.5404303339949851,0.0253085230408681,0.0253085230408681
11,False,1,hit,-0.6669507746855103,0.14300128216153024,0.14300128216153024
11,False,2,hit,-0.29278372720927737,0.23835074945762974,0.23835074945762974
11,False,3,hit,-0.25225022923571355,0.26032526728707966,0.26032526728707966
11,False,4,hit,-0.21106310899491437,0.2830202752089879,0.2830202752089879
11,False,5,hit,-0.16719266083547535,0.30734950895451385,0.30734950895451385
11,False,6,hit,-0.15369901583000453,0.33369004745378467,0.33369004745378467
11,False,7,hit,-0.47537518327693334,0.2921469911270131,0.2921469911270131
