split_card,drawn_card,upcard,optimal_actions,stand,hit,double,value
1,1,1,stand,-0.6669507746855103,,,-0.6669507746855103
1,1,2,stand,-0.29278372720927737,,,-0.29278372720927737
1,1,3,stand,-0.25225022923571355,,,-0.25225022923571355
1,1,4,stand,-0.21106310899491437,,,-0.21106310899491437
1,1,5,stand,-0.16719266083547535,,,-0.16719266083547535
1,1,6,stand,-0.15369901583000453,,,-0.15369901583000453
1,1,7,stand,-0.47537518327693334,,,-0.47537518327693334
1,1,8,stand,-0.5105175154976173,,,-0.5105175154976173
1,1,9,stand,-0.5431496811311094,,,-0.5431496811311094
1,1,10,stand,-0.5404303339949851,,,-0.5404303339949851
1,2,1,stand,-0.6669507746855103,,,-0.6669507746855103
1,2,2,stand,-0.29278372720927737,,,-0.29278372720927737
1,2,3,stand,-0.25225022923571355,,,-0.25225022923571355
1,2,4,stand,-0.21106310899491437,,,-0.21106310899491437
1,2,5,stand,-0.16719266083547535,,,-0.16719266083547535
1,2,6,stand,-0.15369901583000453,,,-0.15369901583000453
1,2,7,stand,-0.47537518327693334,,,-0.47537518327693334
1,2,8,stand,-0.5105175154976173,,,-0.5105175154976173
1,2,9,stand,-0.5431496811311094,,,-0.5431496811311094
1,2,10,stand,-0.5404303339949851,,,-0.5404303339949851
1,3,1,stand,-0.6669507746855103,,,-0.6669507746855103
1,3,2,stand,-0.29278372720927737,,,-0.29278372720927737
1,3,3,stand,-0.25225022923571355,,,-0.25225022923571355
1,3,4,stand,-0.21106310899491437,,,-0.21106310899491437
1,3,5,stand,-0.16719266083547535,,,-0.16719266083547535
1,3,6,stand,-0.15369901583000453,,,-0.15369901583000453
1,3,7,stand,-0.47537518327693334,,,-0.47537518327693334
1,3,8,stand,-0.5105175154976173,,,-0.5105175154976173
1,3,9,stand,-0.5431496811311094,,,-0.5431496811311094
1,3,10,stand,-0.5404303339949851,,,-0.5404303339949851
1,4,1,stand,-0.6669507746855103,,,-0.6669507746855103
1,4,2,stand,-0.29278372720927737,,,-0.29278372720927737
1,4,3,stand,-0.25225022923571355,,,-0.25225022923571355
1,4,4,stand,-0.21106310899491437,,,-0.21106310899491437
1,4,5,stand,-0.16719266083547535,,,-0.16719266083547535
1,4,6,stand,-0.15369901583000453,,,-0.15369901583000453
1,4,7,stand,-0.47537518327693334,,,-0.47537518327693334
1,4,8,stand,-0.5105175154976173,,,-0.5105175154976173
1,4,9,stand,-0.5431496811311094,,,-0.5431496811311094
1,4,10,stand,-0.5404303339949851,,,-0.5404303339949851
1,5,1,stand,-0.6669507746855103,,,-0.6669507746855103
1,5,2,stand,-0.29278372720927737,,,-0.29278372720927737
1,5,3,stand,-0.25225022923571355,,,-0.25225022923571355
1,5,4,stand,-0.21106310899491437,,,-0.21106310899491437
1,5,5,stand,-0.16719266083547535,,,-0.16719266083547535
1,5,6,stand,-0.15369901583000453,,,-0.15369901583000453
1,5,7,stand,-0.47537518327693334,,,-0.47537518327693334
1,5,8,stand,-0.5105175154976173,,,-0.5105175154976173
1,5,9,stand,-0.5431496811311094,,,-0.5431496811311094
1,5,10,stand,-0.5404303339949851,,,-0.5404303339949851
1,6,1,stand,-0.4780334749947371,,,-0.4780334749947371
1,6,2,stand,-0.15297458768154204,,,-0.15297458768154204
1,6,3,stand,-0.11721624142457363,,,-0.11721624142457363
1,6,4,stand,-0.08057337314531614,,,-0.08057337314531614
1,6,5,stand,-0.04494137556492456,,,-0.04494137556492456
1,6,6,stand,0.011739160673341858,,,0.011739160673341858
1,6,7,stand,-0.10680898948269474,,,-0.10680898948269474
1,6,8,stand,-0.3819509710484473,,,-0.3819509710484473
1,6,9,stand,-0.4231542396452174,,,-0.4231542396452174
1,6,10,stand,-0.4197206339288199,,,-0.4197206339288199
1,7,1,stand,-0.10019887561319059,,,-0.10019887561319059
1,7,2,stand,0.12174190222088768,,,0.12174190222088768
1,7,3,stand,0.14830007284131116,,,0.14830007284131116
1,7,4,stand,0.17585443719748522,,,0.17585443719748522
1,7,5,stand,0.19956119497617703,,,0.19956119497617703
1,7,6,stand,0.2834439160468985,,,0.2834439160468985
1,7,7,stand,0.39955416733655175,,,0.39955416733655175
1,7,8,stand,0.10595134861912354,,,0.10595134861912354
1,7,9,stand,-0.18316335667343342,,,-0.18316335667343342
1,7,10,stand,-0.17830123379648957,,,-0.17830123379648957
1,8,1,stand,0.27763572376835594,,,0.27763572376835594
1,8,2,stand,0.3863046860205899,,,0.3863046860205899
1,8,3,stand,0.40436293659776,,,0.40436293659776
1,8,4,stand,0.4231789248274964,,,0.4231789248274964
1,8,5,stand,0.43951210416088354,,,0.43951210416088354
1,8,6,stand,0.4959770737873191,,,0.4959770737873191
1,8,7,stand,0.6159764957534314,,,0.6159764957534314
1,8,8,stand,0.5938536682866943,,,0.5938536682866943
1,8,9,stand,0.28759675706758137,,,0.28759675706758137
1,8,10,stand,0.06311816633584079,,,0.06311816633584079
1,9,1,stand,0.6554703231499024,,,0.6554703231499024
1,9,2,stand,0.6399865752168388,,,0.6399865752168388
1,9,3,stand,0.6502720942514814,,,0.6502720942514814
1,9,4,stand,0.6610499619480716,,,0.6610499619480716
1,9,5,stand,0.6703596906327999,,,0.6703596906327999
1,9,6,stand,0.7039585701713446,,,0.7039585701713446
1,9,7,stand,0.7732272265371749,,,0.7732272265371749
1,9,8,stand,0.7918151595518983,,,0.7918151595518983
1,9,9,stand,0.7583568708085962,,,0.7583568708085962
1,9,10,stand,0.5545375664681711,,,0.5545375664681711
1,10,1,stand,0.9221938114203379,,,0.9221938114203379
1,10,2,stand,0.88200651549404,,,0.88200651549404
1,10,3,stand,0.8853003573017494,,,0.8853003573017494
1,10,4,stand,0.8887672929659194,,,0.8887672929659194
1,10,5,stand,0.8917538265952802,,,0.8917538265952802
1,10,6,stand,0.9028367438425798,,,0.9028367438425798
1,10,7,stand,0.9259262959645234,,,0.9259262959645234
1,10,8,stand,0.9306050531839661,,,0.9306050531839661
1,10,9,stand,0.939176156147244,,,0.939176156147244
1,10,10,stand,0.9626236332671682,,,0.9626236332671682
2,1,1,hit,-0.6669507746855103,-0.05730804666681024,-0.6243905676543714,-0.05730804666681024
2,1,2,hit,-0.29278372720927737,0.046636132695309515,-0.07156995790821606,0.046636132695309515
2,1,3,hit,-0.25225022923571355,0.07411881339274402,-0.00722809451045851,0.07411881339274402
2,1,4,hit,-0.21106310899491437,0.10247714687203516,0.05842651874374489,0.10247714687203516
2,1,5,hit,-0.16719266083547535,0.13336273848321714,0.12595448524867897,0.13336273848321714
2,1,6,double,-0.15369901583000453,0.16169271124923687,0.17974820582791504,0.17974820582791504
2,1,7,hit,-0.47537518327693334,0.12238569517899191,-0.1838655800163816,0.12238569517899191
2,1,8,hit,-0.5105175154976173,0.05405707019631126,-0.31444090236733896,0.05405707019631126
2,1,9,hit,-0.5431496811311094,-0.03769468812747994,-0.4563669632837084,-0.03769468812747994
2,1,10,hit,-0.5404303339949851,-0.10485135840627786,-0.5140284882483093,-0.10485135840627786
2,2,1,hit,-0.6669507746855103,-0.2530769944039087,-1.3339015493710207,-0.2530769944039087
2,2,2,hit,-0.29278372720927737,-0.1149133276189214,-0.5855674544185547,-0.1149133276189214
2,2,3,hit,-0.25225022923571355,-0.0826133142997444,-0.5045004584714271,-0.0826133142997444
2,2,4,hit,-0.21106310899491437,-0.049367420106916936,-0.42212621798982874,-0.049367420106916936
2,2,5,hit,-0.16719266083547535,-0.012379926519926506,-0.3343853216709507,-0.012379926519926506
2,2,6,hit,-0.15369901583000453,0.011130417280979762,-0.30739803166000906,0.011130417280979762
2,2,7,hit,-0.47537518327693334,-0.08827920105846375,-0.9507503665538667,-0.08827920105846375
2,2,8,hit,-0.5105175154976173,-0.15933415266020517,-1.0210350309952345,-0.15933415266020517
2,2,9,hit,-0.5431496811311094,-0.24066617915336547,-1.0862993622622188,-0.24066617915336547
2,2,10,hit,-0.5404303339949851,-0.2891979144856752,-1.0808606679899702,-0.2891979144856752
2,3,1,hit,-0.6669507746855103,-0.2785745975518197,-1.3339015493710207,-0.2785745975518197
2,3,2,hit,-0.29278372720927737,-0.1282155670637475,-0.5855674544185547,-0.1282155670637475
2,3,3,hit,-0.25225022923571355,-0.09531022726148991,-0.5045004584714271,-0.09531022726148991
2,3,4,hit,-0.21106310899491437,-0.06147946419969426,-0.42212621798982874,-0.06147946419969426
2,3,5,hit,-0.16719266083547535,-0.02397897039185975,-0.3343853216709507,-0.02397897039185975
2,3,6,hit,-0.15369901583000453,-0.0011863378384402046,-0.30739803166000906,-0.0011863378384402046
2,3,7,hit,-0.47537518327693334,-0.11944744188414855,-0.9507503665538667,-0.11944744188414855
2,3,8,hit,-0.5105175154976173,-0.18809330390318527,-1.0210350309952345,-0.18809330390318527
2,3,9,hit,-0.5431496811311094,-0.26661505335795904,-1.0862993622622188,-0.26661505335795904
2,3,10,hit,-0.5404303339949851,-0.3134116433649711,-1.0808606679899702,-0.3134116433649711
2,4,1,hit,-0.6669507746855103,-0.30414663097569933,-1.304837349418594,-0.30414663097569933
2,4,2,hit,-0.29278372720927737,-0.14075911746001993,-0.5640583560296724,-0.14075911746001993
2,4,3,hit,-0.25225022923571355,-0.1072910780086084,-0.48372599880817485,-0.1072910780086084
2,4,4,hit,-0.21106310899491437,-0.07291714192638732,-0.40205087401296746,-0.07291714192638732
2,4,5,hit,-0.16719266083547535,-0.03491597333010231,-0.3155774316293275,-0.03491597333010231
2,4,6,hit,-0.15369901583000453,-0.013005835529874334,-0.28194600450564805,-0.013005835529874334
2,4,7,hit,-0.47537518327693334,-0.1519327072366995,-0.894047875200907,-0.1519327072366995
2,4,8,hit,-0.5105175154976173,-0.2172418813207848,-1.0012555626184392,-0.2172418813207848
2,4,9,hit,-0.5431496811311094,-0.29264070019772603,-1.0678385251105431,-0.29264070019772603
2,4,10,hit,-0.5404303339949851,-0.33774944037840815,-1.0622899449028678,-0.33774944037840815
2,5,1,hit,-0.6669507746855103,-0.310071650331637,-1.130452149704034,-0.310071650331637
2,5,2,hit,-0.29278372720927737,-0.10918342786661638,-0.43575788710453833,-0.10918342786661638
2,5,3,hit,-0.25225022923571355,-0.07658298190446361,-0.3597794964219526,-0.07658298190446361
2,5,4,hit,-0.21106310899491437,-0.04302179400434189,-0.2822990657450914,-0.04302179400434189
2,5,5,hit,-0.16719266083547535,-0.007271360902941012,-0.2027300913795883,-0.007271360902941012
2,5,6,hit,-0.15369901583000453,0.029185342353860846,-0.13833716429227233,0.029185342353860846
2,5,7,hit,-0.47537518327693334,-0.06880779958042782,-0.5893358856630299,-0.06880779958042782
2,5,8,hit,-0.5105175154976173,-0.21060476872434974,-0.8470757937777852,-0.21060476872434974
2,5,9,hit,-0.5431496811311094,-0.2853654404868766,-0.957073502200489,-0.2853654404868766
2,5,10,hit,-0.5404303339949851,-0.31905479139833853,-0.9508656063802539,-0.31905479139833853
2,6,1,hit,-0.6669507746855103,-0.19702881057416358,-0.810745950227341,-0.19702881057416358
2,6,2,hit,-0.29278372720927737,-0.02179818800880571,-0.20449052049882196,-0.02179818800880571
2,6,3,hit,-0.25225022923571355,0.008005262530654663,-0.13621609509408678,0.008005262530654663
2,6,4,hit,-0.21106310899491437,0.03878447327720879,-0.06637207115265836,0.03878447327720879
2,6,5,hit,-0.16719266083547535,0.07080463598303369,0.003456443484975325,0.07080463598303369
2,6,6,hit,-0.15369901583000453,0.11496015009622318,0.08701519812895744,0.11496015009622318
2,6,7,hit,-0.47537518327693334,0.08220743936374282,-0.1877295549725523,0.08220743936374282
2,6,8,hit,-0.5105175154976173,-0.05989827565865634,-0.4519868487336276,-0.05989827565865634
2,6,9,hit,-0.5431496811311094,-0.21018633199821765,-0.7185013349521747,-0.21018633199821765
2,6,10,hit,-0.5404303339949851,-0.24937508055334265,-0.7465876524221282,-0.24937508055334265
2,7,1,hit,-0.6669507746855103,-0.06568077877806619,-0.4329113508457944,-0.06568077877806619
2,7,2,hit,-0.29278372720927737,0.0744460375763405,0.061118503166596935,0.0744460375763405
2,7,3,double,-0.25225022923571355,0.10126470173887674,0.12081635332999653,0.12081635332999653
2,7,4,double,-0.21106310899491437,0.12898088119574175,0.1819489340524216,0.1819489340524216
2,7,5,double,-0.16719266083547535,0.1580318562665172,0.24305722487303605,0.24305722487303605
2,7,6,double,-0.15369901583000453,0.19601883925727873,0.3170547457016668,0.3170547457016668
2,7,7,hit,-0.47537518327693334,0.1718678599369526,0.10425035196048571,0.1718678599369526
2,7,8,hit,-0.5105175154976173,0.09837621743539247,-0.02644228964866949,0.09837621743539247
2,7,9,hit,-0.5431496811311094,-0.052178053462651745,-0.3009956590809824,-0.052178053462651745
2,7,10,hit,-0.5404303339949851,-0.1529529848745508,-0.46670671382825935,-0.1529529848745508
2,8,1,hit,-0.6669507746855103,0.08144970794527591,-0.01404236865341169,0.08144970794527591
2,8,2,double,-0.29278372720927737,0.18249999400904487,0.3589394124422991,0.3589394124422991
2,8,3,double,-0.25225022923571355,0.20608797581394087,0.40932067017593915,0.40932067017593915
2,8,4,double,-0.21106310899491437,0.23047012189717692,0.46094024379435383,0.46094024379435383
2,8,5,double,-0.16719266083547535,0.25625855450163376,0.5125171090032675,0.5125171090032675
2,8,6,double,-0.15369901583000453,0.28779508429888423,0.5755901685977685,0.5755901685977685
2,8,7,double,-0.47537518327693334,0.2569087443360865,0.39241245528243757,0.39241245528243757
2,8,8,double,-0.5105175154976173,0.19795370833197604,0.2866357168862836,0.2866357168862836
2,8,9,double,-0.5431496811311094,0.11652959106928386,0.1443283683807711,0.1443283683807711
2,8,10,hit,-0.5404303339949851,0.0253085230408681,-0.008658688034544837,0.0253085230408681
2,9,1,hit,-0.6669507746855103,0.14300128216153024,0.10906077977909696,0.14300128216153024
2,9,2,double,-0.29278372720927737,0.23835074945762974,0.47064092333946883,0.47064092333946883
2,9,3,double,-0.25225022923571355,0.26032526728707966,0.5177952531222166,0.5177952531222166
2,9,4,double,-0.21106310899491437,0.2830202752089879,0.5660405504179759,0.5660405504179759
2,9,5,double,-0.16719266083547535,0.30734950895451385,0.6146990179090277,0.6146990179090277
2,9,6,double,-0.15369901583000453,0.33369004745378467,0.6673800949075693,0.6673800949075693
2,9,7,double,-0.47537518327693334,0.2921469911270131,0.4628889488642907,0.4628889488642907
2,9,8,double,-0.5105175154976173,0.2299821453239917,0.3506925908703149,0.3506925908703149
2,9,9,double,-0.5431496811311094,0.1582571184551257,0.22778342315245476,0.22778342315245476
2,9,10,double,-0.5404303339949851,0.11948223076371356,0.17968872741114608,0.17968872741114608
2,10,1,hit,-0.6669507746855103,-0.35054034044008003,-0.8293439370786727,-0.35054034044008003
2,10,2,hit,-0.29278372720927737,-0.2533899859666381,-0.5067799719332762,-0.2533899859666381
2,10,3,hit,-0.25225022923571355,-0.23369089979808663,-0.46738179959617326,-0.23369089979808663
2,10,4,stand,-0.21106310899491437,-0.21353655324507698,-0.42707310649015395,-0.21106310899491437
2,10,5,stand,-0.16719266083547535,-0.19327116942628347,-0.38654233885256695,-0.16719266083547535
2,10,6,stand,-0.15369901583000453,-0.17052619990757956,-0.3410523998151591,-0.15369901583000453
2,10,7,hit,-0.47537518327693334,-0.2128477145173143,-0.5067116210767303,-0.2128477145173143
2,10,8,hit,-0.5105175154976173,-0.27157480502428616,-0.6156608928303438,-0.27157480502428616
2,10,9,hit,-0.5431496811311094,-0.3400132806089356,-0.7375056210491795,-0.3400132806089356
2,10,10,hit,-0.5404303339949851,-0.38104299284808774,-0.7968405904052415,-0.38104299284808774
3,1,1,hit,-0.6669507746855103,-0.09387432476831009,-0.6243905676543714,-0.09387432476831009
3,1,2,hit,-0.29278372720927737,0.022391856987839028,-0.07156995790821606,0.022391856987839028
3,1,3,hit,-0.25225022923571355,0.05080673891928277,-0.00722809451045851,0.05080673891928277
3,1,4,hit,-0.21106310899491437,0.08008141431011019,0.05842651874374489,0.08008141431011019
3,1,5,double,-0.16719266083547535,0.11189449567473911,0.12595448524867897,0.12595448524867897
